Date,Time,Attendance,Gender_Demographic,Age_Demographic,Movie_Title,Genre,Producer,Distributor,Rotten_Tomatoes,IMDB,Metacritic,Certificate_Rating,Certificate_Body,Capacity,Video_System,Sound_System
2023-08-27,09:23:00,36,0.9,38.6,Pride & Prejudice,Fantasy,Universal,LucasFilm ,78,7.8,73,Passed ,MPA,200,Dolby Digital,Dolby Digital
2023-12-21,09:36:00,38,0.8,20.5,Sicario,Action,20th Century Fox,Disney,76,7.6,71,A,MPA,100,Dolby Digital,Dolby Digital
2024-11-11,11:03:00,6,0.5,15.2,The Usual Suspects,Drama,DreamWorks,Universal,85,8.5,80,A,MPA,200,ABD,Audionic
2024-01-29,10:29:00,36,0.2,16.4,Lilja 4-ever,Drama,LucasFilm ,Pixar ,78,7.8,73,PG-13,MPA,300,ABD,Audionic
2024-09-10,11:16:00,4,0.4,20.0,Life of Pi,Adventure,20th Century Fox,LucasFilm ,79,7.9,74,TV-PG,MPA,100,ABD,Audionic
2023-04-13,10:32:00,27,0.0,16.7,Mar adentro,Biography,Paramount,20th Century Fox,80,8.0,75,TV-PG,MPA,200,Dolby Digital,Dolby Digital
2024-04-09,10:00:00,4,0.5,38.3,Rockstar,Fantasy,Warner Bros.,DreamWorks,77,7.7,72,Unrated,MPA,100,Dolby Digital,Dolby Digital
2024-07-12,10:48:00,2,0.1,32.2,Goodfellas,Biography,LucasFilm ,Paramount,87,8.7,82,A,MPA,100,ABD,Audionic
2023-11-03,10:21:00,4,0.6,25.0,Der Himmel über Berlin,Fantasy,Disney,Pixar ,80,8.0,75,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2023-09-06,09:05:00,17,0.6,24.5,Adaptation.,Fantasy,Universal,LucasFilm ,77,7.7,72,PG-13,MPA,200,ABD,Audionic
2024-01-31,11:34:00,42,0.9,18.3,La Strada,Fantasy,20th Century Fox,Universal,80,8.0,75,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2023-12-13,10:40:00,35,0.1,39.7,Life of Pi,Adventure,20th Century Fox,LucasFilm ,79,7.9,74,TV-PG,MPA,200,ABD,Audionic
2024-12-23,09:36:00,43,0.0,32.7,Bom Yeoareum Gaeul Gyeoul Geurigo Bom,Fantasy,DreamWorks,Universal,80,8.0,75,PG-13,MPA,300,ABD,Audionic
2023-11-16,10:10:00,26,0.0,29.6,El ángel exterminador,Fantasy,LucasFilm ,DreamWorks,81,8.1,76,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-04-06,09:01:00,18,0.4,19.0,Sleuth,War,Paramount,Universal,80,8.0,75,Passed ,MPA,100,ABD,Audionic
2024-09-13,10:06:00,14,0.7,20.3,Kal Ho Naa Ho,Fantasy,Disney,Universal,80,8.0,75,TV-PG,MPA,100,ABD,Audionic
2023-03-07,10:23:00,25,0.6,21.9,Monty Python and the Holy Grail,Adventure,Paramount,Disney,82,8.2,77,Passed ,MPA,200,Dolby Digital,Dolby Digital
2023-12-14,09:00:00,6,0.7,17.7,Interstate 60: Episodes of the Road,Adventure,Universal,Paramount,77,7.7,72,PG-13,MPA,200,ABD,Audionic
2023-01-06,09:06:00,49,0.5,30.6,The Bourne Ultimatum,Action,20th Century Fox,Warner Bros.,80,8.0,75,Unrated,MPA,100,ABD,Audionic
2024-12-17,09:29:00,39,0.2,24.9,The Treasure of the Sierra Madre,Adventure,Paramount,Universal,82,8.2,77,GP,AFI,100,Dolby Digital,Dolby Digital
2024-05-24,09:54:00,34,0.2,27.8,Requiem for a Dream,Fantasy,Paramount,Paramount,83,8.3,78,A,MPA,200,ABD,Audionic
2023-04-17,09:18:00,41,0.2,29.5,Andaz Apna Apna,Action,LucasFilm ,Pixar ,82,8.2,77,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2024-09-11,10:31:00,16,0.9,19.7,A Bronx Tale,Drama,Warner Bros.,Warner Bros.,78,7.8,73,PG-13,MPA,300,ABD,Audionic
2024-07-21,10:47:00,17,0.7,28.5,Wo hu cang long,Action,Paramount,Paramount,78,7.8,73,Unrated,MPA,200,ABD,Audionic
2023-03-18,09:39:00,13,0.2,17.0,Empire of the Sun,Action,Universal,Warner Bros.,77,7.7,72,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2023-11-21,11:54:00,29,1.0,16.5,Dark City,War,Pixar ,Universal,76,7.6,71,A,MPA,200,Dolby Digital,Dolby Digital
2024-03-27,10:53:00,23,0.4,24.9,Aladdin,Adventure,Universal,LucasFilm ,80,8.0,75,TV-PG,MPA,200,ABD,Audionic
2023-05-08,11:10:00,28,0.6,37.6,"Monsters, Inc.",Adventure,Paramount,LucasFilm ,81,8.1,76,TV-PG,MPA,200,ABD,Audionic
2024-11-17,09:25:00,27,0.6,30.6,Thor: Ragnarok,Action,Warner Bros.,DreamWorks,79,7.9,74,Unrated,MPA,300,ABD,Audionic
2023-03-09,09:39:00,33,0.3,31.9,Nueve reinas,Drama,Warner Bros.,Pixar ,79,7.9,74,PG-13,MPA,300,Dolby Digital,Dolby Digital
2024-06-13,10:35:00,49,0.1,19.6,Pulp Fiction,Drama,DreamWorks,Universal,89,8.9,84,A,MPA,300,Dolby Digital,Dolby Digital
2023-08-15,10:17:00,27,0.1,31.7,Apocalypse Now,Fantasy,Pixar ,Universal,84,8.4,79,PG-13,MPA,100,Dolby Digital,Dolby Digital
2023-05-21,09:10:00,4,0.2,23.6,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo,",Action,LucasFilm ,DreamWorks,81,8.1,76,Unrated,MPA,100,ABD,Audionic
2023-06-24,11:24:00,27,0.9,36.2,Get Out,Romance,LucasFilm ,LucasFilm ,77,7.7,72,PG-13,MPA,100,Dolby Digital,Dolby Digital
2023-08-05,11:03:00,21,0.6,27.8,Beauty and the Beast,Crime,DreamWorks,20th Century Fox,80,8.0,75,Cetificate,AFI,100,Dolby Digital,Dolby Digital
2024-03-29,09:04:00,27,0.8,15.0,Captain America: Civil War,Action,Pixar ,DreamWorks,78,7.8,73,Unrated,MPA,300,Dolby Digital,Dolby Digital
2024-09-01,10:48:00,34,0.4,18.6,This Is England,Drama,Warner Bros.,LucasFilm ,77,7.7,72,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2024-01-18,09:36:00,17,0.1,28.3,Once,Fantasy,20th Century Fox,20th Century Fox,78,7.8,73,PG-13,MPA,200,ABD,Audionic
2024-03-15,09:05:00,36,0.1,18.5,Per qualche dollaro in più,Musical,20th Century Fox,Warner Bros.,83,8.3,78,TV-PG,MPA,100,ABD,Audionic
2024-04-09,11:10:00,19,0.6,17.5,Moneyball,Biography,DreamWorks,DreamWorks,76,7.6,71,PG,MPA,100,Dolby Digital,Dolby Digital
2023-08-10,09:45:00,14,0.9,28.5,Who Framed Roger Rabbit,Adventure,DreamWorks,20th Century Fox,77,7.7,72,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-06-15,09:01:00,12,0.1,20.1,Fear and Loathing in Las Vegas,Adventure,Warner Bros.,Pixar ,76,7.6,71,PG-13,MPA,200,ABD,Audionic
2024-01-09,10:34:00,41,0.2,39.8,Apocalypse Now,Fantasy,Pixar ,Universal,84,8.4,79,PG-13,MPA,200,Dolby Digital,Dolby Digital
2023-05-27,09:55:00,41,0.2,17.3,The Lost Weekend,Fantasy,Disney,20th Century Fox,79,7.9,74,GP,AFI,100,Dolby Digital,Dolby Digital
2023-12-07,10:38:00,50,0.0,36.9,Kagemusha,Fantasy,Pixar ,DreamWorks,80,8.0,75,TV-PG,MPA,300,ABD,Audionic
2023-04-14,11:59:00,41,0.6,34.5,Star Wars: Episode V - The Empire Strikes Back,Action,Universal,Paramount,87,8.7,82,Unrated,MPA,100,Dolby Digital,Dolby Digital
2023-06-29,10:58:00,32,0.7,27.0,Mysterious Skin,Fantasy,Pixar ,LucasFilm ,76,7.6,71,PG-13,MPA,100,Dolby Digital,Dolby Digital
2023-11-11,09:15:00,7,0.1,18.9,The Peanut Butter Falcon,Adventure,LucasFilm ,LucasFilm ,76,7.6,71,PG,MPA,200,Dolby Digital,Dolby Digital
2024-08-22,09:50:00,37,0.3,36.1,District 9,Action,20th Century Fox,20th Century Fox,79,7.9,74,A,MPA,300,Dolby Digital,Dolby Digital
2023-07-16,09:01:00,25,0.9,32.9,Jojo Rabbit,Fantasy,DreamWorks,Disney,79,7.9,74,Unrated,MPA,100,Dolby Digital,Dolby Digital
2023-01-29,10:44:00,31,0.2,35.3,Titanic,Fantasy,Universal,Paramount,78,7.8,73,Unrated,MPA,200,Dolby Digital,Dolby Digital
2024-07-24,10:40:00,12,0.4,15.1,The Maltese Falcon,Horror,20th Century Fox,DreamWorks,80,8.0,75,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2024-03-01,10:23:00,14,0.7,26.2,Atonement,Fantasy,Disney,LucasFilm ,78,7.8,73,PG-13,MPA,200,ABD,Audionic
2023-09-10,11:46:00,33,0.2,36.6,Hedwig and the Angry Inch,Fantasy,Pixar ,Paramount,77,7.7,72,PG-13,MPA,100,Dolby Digital,Dolby Digital
2024-11-15,10:53:00,48,0.2,16.7,Ray,Biography,DreamWorks,LucasFilm ,77,7.7,72,A,MPA,100,ABD,Audionic
2024-10-13,09:57:00,9,0.9,18.2,Rockstar,Fantasy,Warner Bros.,DreamWorks,77,7.7,72,Unrated,MPA,300,ABD,Audionic
2024-10-20,11:30:00,31,0.1,27.5,Her,Fantasy,DreamWorks,LucasFilm ,80,8.0,75,A,MPA,200,ABD,Audionic
2024-07-19,11:45:00,25,0.0,16.5,Babam ve Oglum,Fantasy,Disney,LucasFilm ,83,8.3,78,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2023-06-23,10:22:00,19,0.2,30.3,Toy Story 3,Adventure,Pixar ,Warner Bros.,82,8.2,77,TV-PG,MPA,200,ABD,Audionic
2024-01-31,11:55:00,48,0.3,32.7,Finding Neverland,Biography,Paramount,Universal,76,7.6,71,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2024-06-20,10:07:00,37,0.1,28.7,Bridge of Spies,Fantasy,20th Century Fox,LucasFilm ,76,7.6,71,Unrated,MPA,100,ABD,Audionic
2024-08-11,10:56:00,29,0.1,32.1,Citizen Kane,Fantasy,Universal,Disney,83,8.3,78,Unrated,MPA,200,ABD,Audionic
2023-02-20,09:45:00,36,1.0,39.7,A Bronx Tale,Drama,Warner Bros.,Warner Bros.,78,7.8,73,PG-13,MPA,300,ABD,Audionic
2023-10-25,10:27:00,27,0.9,30.8,American Beauty,Fantasy,Warner Bros.,20th Century Fox,83,8.3,78,Unrated,MPA,100,Dolby Digital,Dolby Digital
2023-05-15,10:42:00,27,0.8,17.3,Manchester by the Sea,Fantasy,DreamWorks,Paramount,78,7.8,73,Unrated,MPA,100,Dolby Digital,Dolby Digital
2023-11-11,10:58:00,2,0.3,16.0,Sunrise: A Song of Two Humans,Fantasy,Universal,Universal,81,8.1,76,GP,AFI,300,ABD,Audionic
2023-06-10,11:59:00,13,0.7,26.2,Joyeux Noël,Fantasy,Paramount,LucasFilm ,77,7.7,72,PG,MPA,200,ABD,Audionic
2023-02-15,10:26:00,22,0.5,37.1,Gone with the Wind,Fantasy,20th Century Fox,20th Century Fox,81,8.1,76,TV-PG,MPA,100,ABD,Audionic
2023-10-19,10:32:00,12,0.1,21.7,The Last King of Scotland,Biography,20th Century Fox,20th Century Fox,77,7.7,72,PG-13,MPA,100,ABD,Audionic
2024-01-29,09:07:00,27,0.6,24.9,Rushmore,Fantasy,LucasFilm ,DreamWorks,77,7.7,72,Unrated,MPA,100,Dolby Digital,Dolby Digital
2023-07-04,09:48:00,33,0.4,25.3,Persona,Fantasy,Paramount,Pixar ,81,8.1,76,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-03-19,10:47:00,30,0.1,34.4,The Night of the Hunter,Drama,Warner Bros.,LucasFilm ,80,8.0,75,TV-PG,MPA,200,ABD,Audionic
2024-05-01,09:20:00,35,0.5,21.4,The Lives of Others,Fantasy,Universal,DreamWorks,84,8.4,79,A,MPA,100,ABD,Audionic
2024-01-23,10:14:00,22,0.3,27.7,Vivre sa vie: Film en douze tableaux,Fantasy,Paramount,Warner Bros.,80,8.0,75,TV-PG,MPA,300,Dolby Digital,Dolby Digital
2023-09-07,09:42:00,19,0.0,26.4,The Green Mile,Drama,LucasFilm ,Universal,86,8.6,81,Unrated,MPA,100,ABD,Audionic
2023-10-07,11:34:00,26,1.0,17.9,The Best Years of Our Lives,Fantasy,Universal,Paramount,80,8.0,75,Approved,AFI,300,ABD,Audionic
2023-12-29,10:38:00,44,0.6,20.7,Huo Yuan Jia,Action,LucasFilm ,Paramount,76,7.6,71,PG,MPA,200,ABD,Audionic
2024-04-27,11:06:00,38,0.0,24.3,A Hard Day's Night,Sci-Fi,Paramount,Universal,76,7.6,71,TV-PG,MPA,200,ABD,Audionic
2023-03-08,09:22:00,36,0.2,21.8,Scarface,Drama,Universal,Pixar ,83,8.3,78,A,MPA,300,ABD,Audionic
2023-11-29,10:49:00,27,0.0,24.1,WALL·E,Adventure,Pixar ,20th Century Fox,84,8.4,79,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-06-23,09:36:00,35,0.6,25.1,Fiddler on the Roof,Fantasy,DreamWorks,DreamWorks,80,8.0,75,Cetificate,AFI,300,ABD,Audionic
2023-12-26,11:17:00,21,0.3,36.4,Belle de jour,Fantasy,Universal,LucasFilm ,77,7.7,72,A,MPA,200,Dolby Digital,Dolby Digital
2023-01-24,10:05:00,27,1.0,35.9,Walk the Line,Biography,20th Century Fox,LucasFilm ,78,7.8,73,PG,MPA,200,ABD,Audionic
2024-05-13,10:50:00,42,0.4,33.3,Persepolis,Crime,LucasFilm ,Disney,80,8.0,75,PG,MPA,100,Dolby Digital,Dolby Digital
2023-10-23,11:12:00,23,0.2,18.0,After Hours,Drama,Paramount,20th Century Fox,77,7.7,72,Unrated,MPA,100,Dolby Digital,Dolby Digital
2023-07-22,09:11:00,2,0.8,18.5,Eskiya,Drama,LucasFilm ,DreamWorks,82,8.2,77,TV-PG,MPA,200,Dolby Digital,Dolby Digital
2024-03-31,10:40:00,14,0.7,23.4,Red River,Action,Universal,Pixar ,78,7.8,73,GP,AFI,200,Dolby Digital,Dolby Digital
2024-09-16,11:37:00,43,0.2,22.6,Mononoke-hime,Action,Disney,Pixar ,84,8.4,79,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2024-07-04,10:45:00,29,0.1,17.4,Barton Fink,Fantasy,LucasFilm ,Warner Bros.,77,7.7,72,TV-PG,MPA,200,ABD,Audionic
2023-01-01,09:33:00,42,0.1,24.9,Toy Story 2,Adventure,DreamWorks,Pixar ,79,7.9,74,TV-PG,MPA,200,ABD,Audionic
2023-09-03,09:53:00,45,0.3,32.7,Heat,Drama,20th Century Fox,Paramount,82,8.2,77,A,MPA,300,Dolby Digital,Dolby Digital
2023-08-13,09:53:00,7,0.1,37.0,The Godfather,Drama,LucasFilm ,Pixar ,92,9.2,87,A,MPA,300,ABD,Audionic
2024-01-08,11:45:00,44,0.0,21.4,Training Day,Drama,Universal,Disney,77,7.7,72,A,MPA,300,Dolby Digital,Dolby Digital
2024-04-28,09:55:00,21,0.8,23.0,Rashômon,Drama,LucasFilm ,Disney,82,8.2,77,TV-PG,MPA,200,ABD,Audionic
2024-11-03,11:00:00,36,0.8,25.6,A Little Princess,Fantasy,Disney,LucasFilm ,77,7.7,72,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-04-27,11:06:00,2,0.4,29.5,The Night of the Hunter,Drama,Warner Bros.,LucasFilm ,80,8.0,75,TV-PG,MPA,300,ABD,Audionic
2023-05-12,10:43:00,12,0.5,38.4,Se7en,Drama,Universal,LucasFilm ,86,8.6,81,Unrated,MPA,300,Dolby Digital,Dolby Digital
2024-07-09,10:08:00,43,0.7,34.2,Mononoke-hime,Action,Disney,Pixar ,84,8.4,79,TV-PG,MPA,300,ABD,Audionic
2023-04-07,10:48:00,16,0.5,23.1,The Grand Budapest Hotel,Adventure,20th Century Fox,Warner Bros.,81,8.1,76,Unrated,MPA,200,ABD,Audionic
2024-10-23,09:41:00,39,0.3,35.1,Udaan,Fantasy,Disney,Warner Bros.,82,8.2,77,Unrated,MPA,300,ABD,Audionic
2023-05-22,09:35:00,11,0.7,24.8,Toy Story 2,Adventure,DreamWorks,Pixar ,79,7.9,74,TV-PG,MPA,100,ABD,Audionic
2024-03-29,09:02:00,23,0.8,28.8,Gran Torino,Fantasy,Disney,LucasFilm ,81,8.1,76,PG-13,MPA,200,Dolby Digital,Dolby Digital
2024-05-02,11:17:00,15,0.1,19.2,Call Me by Your Name,Fantasy,20th Century Fox,Pixar ,79,7.9,74,Unrated,MPA,200,Dolby Digital,Dolby Digital
2024-04-08,11:24:00,17,0.4,35.5,No Country for Old Men,Drama,Universal,Universal,81,8.1,76,PG-13,MPA,100,Dolby Digital,Dolby Digital
2024-12-07,09:54:00,8,0.1,22.5,Gladiator,Action,Universal,Universal,85,8.5,80,Unrated,MPA,200,ABD,Audionic
2024-03-22,11:11:00,13,0.2,19.4,"Il buono, il brutto, il cattivo",Musical,Pixar ,DreamWorks,88,8.8,83,A,MPA,200,ABD,Audionic
2023-09-08,11:42:00,27,1.0,18.0,Der Name der Rose,Drama,LucasFilm ,DreamWorks,77,7.7,72,PG-13,MPA,200,Dolby Digital,Dolby Digital
2024-04-24,10:33:00,27,0.1,16.9,The Red Shoes,Fantasy,Paramount,LucasFilm ,81,8.1,76,TV-PG,MPA,100,ABD,Audionic
2023-08-13,10:20:00,1,0.4,31.7,Mysterious Skin,Fantasy,Pixar ,LucasFilm ,76,7.6,71,PG-13,MPA,100,Dolby Digital,Dolby Digital
2023-07-13,10:12:00,24,0.8,27.6,The Elephant Man,Biography,DreamWorks,Paramount,81,8.1,76,Unrated,MPA,200,ABD,Audionic
2024-05-12,10:34:00,4,1.0,32.4,The Killing Fields,Biography,LucasFilm ,Pixar ,78,7.8,73,Unrated,MPA,100,Dolby Digital,Dolby Digital
2023-05-05,10:05:00,8,0.0,35.9,X-Men: Days of Future Past,Action,Paramount,Universal,79,7.9,74,Unrated,MPA,300,Dolby Digital,Dolby Digital
2023-12-17,10:22:00,16,0.8,16.0,Jungfrukällan,Fantasy,Disney,Universal,81,8.1,76,A,MPA,300,Dolby Digital,Dolby Digital
2024-11-11,11:00:00,33,0.7,18.3,Nightcrawler,Drama,Universal,Paramount,79,7.9,74,A,MPA,200,ABD,Audionic
2023-08-23,10:22:00,30,0.4,34.6,Baby Driver,Action,Warner Bros.,LucasFilm ,76,7.6,71,Unrated,MPA,200,ABD,Audionic
2023-06-22,11:08:00,14,0.3,27.5,Watership Down,Adventure,LucasFilm ,Universal,76,7.6,71,TV-PG,MPA,200,ABD,Audionic
2024-11-06,10:07:00,43,0.6,23.0,Star Wars: Episode V - The Empire Strikes Back,Action,Universal,Paramount,87,8.7,82,Unrated,MPA,200,Dolby Digital,Dolby Digital
2024-08-17,09:18:00,7,0.2,33.3,Minority Report,Action,20th Century Fox,Universal,76,7.6,71,A,MPA,100,Dolby Digital,Dolby Digital
2023-01-26,09:34:00,22,0.9,28.2,The Shop Around the Corner,Fantasy,Disney,Paramount,81,8.1,76,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2023-05-27,10:46:00,19,0.1,27.8,Smultronstället,Fantasy,Pixar ,LucasFilm ,82,8.2,77,TV-PG,MPA,100,ABD,Audionic
2024-01-20,10:24:00,17,0.4,17.0,Shichinin no samurai,Action,Paramount,Pixar ,86,8.6,81,TV-PG,MPA,300,ABD,Audionic
2023-01-15,09:44:00,38,0.8,32.8,Bir Zamanlar Anadolu'da,Drama,Disney,Pixar ,79,7.9,74,TV-PG,MPA,200,Dolby Digital,Dolby Digital
2024-05-02,10:21:00,20,0.6,34.6,La vie d'Adèle,Fantasy,Pixar ,DreamWorks,77,7.7,72,A,MPA,100,Dolby Digital,Dolby Digital
2024-04-12,11:36:00,13,0.7,39.2,Man on Fire,Action,Paramount,LucasFilm ,77,7.7,72,Unrated,MPA,100,Dolby Digital,Dolby Digital
2023-10-18,09:51:00,30,0.5,31.4,Warrior,Action,LucasFilm ,DreamWorks,82,8.2,77,Unrated,MPA,100,Dolby Digital,Dolby Digital
2023-03-31,09:09:00,6,0.2,20.8,La Grande Illusion,Fantasy,20th Century Fox,Warner Bros.,81,8.1,76,TV-PG,MPA,200,Dolby Digital,Dolby Digital
2023-05-09,09:23:00,47,0.7,32.7,The Night of the Hunter,Drama,Warner Bros.,LucasFilm ,80,8.0,75,TV-PG,MPA,200,ABD,Audionic
2023-02-14,11:56:00,18,0.7,28.6,Sense and Sensibility,Fantasy,DreamWorks,DreamWorks,76,7.6,71,TV-PG,MPA,300,ABD,Audionic
2023-02-24,09:59:00,6,0.1,31.1,The Visitor,Fantasy,20th Century Fox,Universal,76,7.6,71,PG,MPA,100,ABD,Audionic
2023-09-05,10:52:00,49,0.1,25.1,Planet of the Apes,Adventure,Warner Bros.,Universal,80,8.0,75,TV-PG,MPA,200,ABD,Audionic
2023-11-08,09:44:00,31,0.7,26.9,Zerkalo,Biography,DreamWorks,DreamWorks,81,8.1,76,Cetificate,AFI,300,Dolby Digital,Dolby Digital
2023-09-05,11:15:00,48,0.5,30.4,The Bridges of Madison County,Fantasy,LucasFilm ,Disney,76,7.6,71,A,MPA,200,Dolby Digital,Dolby Digital
2024-11-04,11:02:00,32,0.3,22.0,A Streetcar Named Desire,Fantasy,Pixar ,Disney,80,8.0,75,A,MPA,200,Dolby Digital,Dolby Digital
2023-08-04,11:05:00,2,0.4,31.8,Special Chabbis,Drama,Warner Bros.,Warner Bros.,80,8.0,75,Unrated,MPA,200,ABD,Audionic
2023-08-03,11:01:00,34,0.4,24.4,Adaptation.,Fantasy,Universal,LucasFilm ,77,7.7,72,PG-13,MPA,200,ABD,Audionic
2023-04-14,09:29:00,16,0.3,37.9,Les quatre cents coups,Drama,Paramount,DreamWorks,81,8.1,76,TV-PG,MPA,100,ABD,Audionic
2024-02-16,10:19:00,27,0.9,33.5,The Maltese Falcon,Horror,20th Century Fox,DreamWorks,80,8.0,75,TV-PG,MPA,200,ABD,Audionic
2024-11-22,10:13:00,23,0.8,20.6,Creed,Fantasy,Disney,LucasFilm ,76,7.6,71,A,MPA,300,Dolby Digital,Dolby Digital
2023-01-13,10:48:00,24,1.0,24.6,The Boy in the Striped Pyjamas,Fantasy,DreamWorks,20th Century Fox,78,7.8,73,PG,MPA,100,Dolby Digital,Dolby Digital
2023-09-02,11:37:00,19,0.3,21.7,The Long Goodbye,Drama,DreamWorks,Disney,76,7.6,71,A,MPA,300,Dolby Digital,Dolby Digital
2023-04-15,09:40:00,35,1.0,26.1,Ray,Biography,DreamWorks,LucasFilm ,77,7.7,72,A,MPA,100,Dolby Digital,Dolby Digital
2023-03-20,11:34:00,32,1.0,17.7,La Vie En Rose,Biography,LucasFilm ,DreamWorks,76,7.6,71,PG,MPA,200,Dolby Digital,Dolby Digital
2024-10-25,09:38:00,15,0.7,16.7,Ford v Ferrari,Action,Warner Bros.,Universal,81,8.1,76,Unrated,MPA,300,Dolby Digital,Dolby Digital
2023-06-28,10:03:00,13,0.5,17.0,Stand by Me,Adventure,DreamWorks,Pixar ,81,8.1,76,TV-PG,MPA,200,ABD,Audionic
2023-02-21,10:45:00,25,0.1,27.9,Captain America: Civil War,Action,Pixar ,DreamWorks,78,7.8,73,Unrated,MPA,100,Dolby Digital,Dolby Digital
2024-04-02,10:56:00,35,0.2,27.4,Pâfekuto burû,Crime,Warner Bros.,Pixar ,80,8.0,75,A,MPA,300,Dolby Digital,Dolby Digital
2023-09-06,10:17:00,45,0.1,27.9,Rupan sansei: Kariosutoro no shiro,Adventure,Paramount,Warner Bros.,77,7.7,72,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2024-06-08,10:04:00,36,0.5,24.4,Stand by Me,Adventure,DreamWorks,Pixar ,81,8.1,76,TV-PG,MPA,100,Dolby Digital,Dolby Digital
2024-02-08,09:09:00,7,0.0,38.2,How to Train Your Dragon,Action,DreamWorks,Warner Bros.,81,8.1,76,TV-PG,MPA,100,ABD,Audionic
2023-07-28,11:38:00,35,0.1,25.3,The Day of the Jackal,Drama,Pixar ,Paramount,78,7.8,73,A,MPA,100,Dolby Digital,Dolby Digital
2024-03-01,11:10:00,50,0.1,37.3,Tombstone,Action,20th Century Fox,Paramount,78,7.8,73,PG-13,MPA,200,ABD,Audionic
2024-04-02,09:38:00,23,0.8,22.0,Double Indemnity,Drama,LucasFilm ,20th Century Fox,83,8.3,78,GP,AFI,100,ABD,Audionic
2023-03-21,10:08:00,43,1.0,27.9,Twelve Monkeys,War,Disney,Paramount,80,8.0,75,A,MPA,200,ABD,Audionic
2024-01-15,09:16:00,47,0.9,18.1,12 Angry Men,Drama,Universal,LucasFilm ,90,9.0,85,TV-PG,MPA,200,ABD,Audionic
